pc11_state_id,pc11_district_id,pc11_subdistrict_id,state_name,district_name,subdistrict_name,subdistrict_population,avg_pm2.5_1998,avg_pm2.5_1999,avg_pm2.5_2000,avg_pm2.5_2001,avg_pm2.5_2002,avg_pm2.5_2003,avg_pm2.5_2004,avg_pm2.5_2005,avg_pm2.5_2006,avg_pm2.5_2007,avg_pm2.5_2008,avg_pm2.5_2009,avg_pm2.5_2010,avg_pm2.5_2011,avg_pm2.5_2012,avg_pm2.5_2013,avg_pm2.5_2014,avg_pm2.5_2015,avg_pm2.5_2016,avg_pm2.5_2017,avg_pm2.5_2018,avg_pm2.5_2019,avg_pm2.5_2020,avg_pm2.5_2021,avg_pm2.5_2022,avg_pm2.5_2023
24,468,00000,gujarat,kachchh,rann of kachchh,10028,34.68115010088261,34.7131648593466,46.40095581090172,45.79904070589907,49.81683866989278,49.58969260725378,51.5765437272163,46.72128153686674,47.84191196360722,43.96435043681882,49.405848134594706,47.458457014147584,45.92824506351787,43.78642364288219,49.857048368017026,50.72600531665723,47.96032712038174,57.43154026432449,47.1978174940342,49.604122441879106,59.27120200262498,48.11938095700449,44.57177607790876,45.86391342349334,46.12702923957578,45.13031469262355
24,468,03722,gujarat,kachchh,lakhpat,73109,38.07631196120602,36.63264300003851,50.564428629907646,51.08218776273043,54.15925456633641,53.74619812492777,57.565427950064006,48.82734223499176,50.21599310610763,47.3912928948976,51.762548803843416,48.286519057746446,49.6900427353111,45.977789203664436,50.344349958171804,51.52394831150523,52.3077109435623,57.44142562529276,48.434217629989874,52.5269649451343,56.59271964528243,48.54079775108431,46.99404685119841,45.48240663102442,47.5908233963559,43.02959995638169
24,468,03723,gujarat,kachchh,rapar,231371,32.54892371149471,32.20542224768604,43.954667395938856,42.88118750676362,46.770837717282156,47.217383701134544,48.91198641349935,44.49697913340559,45.83291804150622,41.95387397994597,47.44115902285583,45.017077942171554,43.15265710129696,41.523081911622,46.97367330746547,47.71910218438261,44.85409713262015,53.78130538955921,44.37545930452002,45.409196908175076,55.97016470838641,44.95072375171615,41.62757863986612,42.41778154976136,42.348408377007516,42.34497840262492
24,468,03724,gujarat,kachchh,bhachau,265145,32.21571505749531,31.28012693199105,43.526141381609825,42.893428033333265,46.3415278532324,47.10463553630674,49.166364090860114,44.61018022160635,45.53234756353795,42.07020690136731,47.087928328337355,44.85341509203223,43.29985338823752,41.76711579260356,46.63873052919015,47.3457760575847,45.529573219676415,53.01017373084983,44.6629881709402,45.701982491553174,55.91906946157175,45.699354028913604,42.277480043573206,42.694486094633795,43.381296375678865,42.32156517409186
24,468,03725,gujarat,kachchh,anjar,234708,32.38185687318578,31.065705573478734,43.56876153293215,42.78585638879235,46.94741035396897,47.47394813463347,50.00535371195788,44.73237120670561,45.22805117686839,42.37751641315914,46.89814339436385,44.5777614934884,43.43990950376468,42.1215780571209,46.142519362896316,46.995243695936914,46.500156425632326,52.93486109227778,44.18855654567836,44.94104815833095,55.03233270614143,45.49928198835492,42.149752774815134,41.55360127771072,43.37830366881623,40.83757215681438
24,468,03726,gujarat,kachchh,bhuj,640490,34.69634145240282,33.249952726421355,47.828706058028956,46.17623454631063,50.04021481865951,50.720661128214964,52.65217232944727,47.24684513783198,48.06025532595658,44.99422456020011,49.168635724068615,46.873859093661366,46.42555561433546,43.981772497260806,48.7762377946489,49.97656675727547,48.829024853279975,55.67176937148045,46.312488337763746,47.40213761542523,56.3718210132753,47.44827848367484,44.179297896871816,43.400071423901096,45.240364654979544,42.05369281362008
24,468,03727,gujarat,kachchh,nakhatrana,212334,35.82333240077901,34.19342171571856,49.0642764664663,48.45823893871303,50.98182906764357,51.86153844911067,54.89084575911725,47.506106647740374,48.59154764621741,45.28402535518818,49.073345461939205,46.793678872966794,47.24366807207893,44.63797984410099,49.224716783587475,50.219098684071156,49.545468557335916,55.204294884203776,46.24873096607732,47.53314571225377,53.99463177429032,47.144145458234284,44.29336849947151,43.138208120342846,45.11317102590766,41.54975484021716
24,468,03728,gujarat,kachchh,abdasa,159068,35.27402051428989,33.29589567655927,45.74357344077369,47.505529274265804,48.99570750931133,49.87751901469944,54.312014312660686,45.17040446259572,46.528807929805446,43.4396522123866,47.295078619725416,43.78130897811378,43.91181626778655,41.65785919572377,45.9353974474071,47.19599275793214,46.606011334852575,49.39094527319427,41.75463659363578,44.58708078578516,48.82879427632131,43.836976988566285,40.33535835106449,39.84478612033287,41.830340847723335,37.82241227141833
24,468,03729,gujarat,kachchh,mandvi,245263,32.76905764157534,30.716077308310403,43.69020559002244,44.303067903276826,45.96717655915699,47.212457285154166,50.162056649082906,42.07481146093165,43.094207856001375,40.53522743249504,44.40647473159635,41.41535409879238,41.033492856255855,39.92129154367678,44.73141944952757,45.09591337204872,43.620297726703384,47.05734768803793,39.51035423449441,40.23877808408598,46.89638810285443,42.49964757300254,38.37115937855635,38.34019559168252,40.585803941776575,37.04121144816539
24,468,03730,gujarat,kachchh,mundra,119012,31.967547054267367,29.92084817017667,42.3149262174676,42.82857166773299,45.86862769961697,46.56578588446604,49.12253813637869,42.34329415559984,43.23231902280359,40.91641392294675,44.922983925468856,42.2141253649042,41.36297843586705,40.54297438493479,45.11384703671959,45.484840752979196,44.28585660356691,49.16782411003167,41.548492638861916,41.43708685897819,49.86105568078675,43.441395455462,39.834909287181425,39.630720646009976,41.40279608517377,37.976429091281894
