state_ut,year,min_pm25,max_pm25,avg_pm25
A&N Islands,2014,12.713678559172712,23.283307349004723,21.05763596353466
A&N Islands,2015,11.439831382464789,18.029664886555615,16.766586545819454
A&N Islands,2016,13.155755940456167,22.39137815771936,21.09206348314653
A&N Islands,2017,10.623579981663742,18.960981266759056,17.831455652245364
A&N Islands,2018,12.642946729614994,22.96756209224757,21.52212039644155
A&N Islands,2019,14.266158203324805,26.037713409292177,23.379455595892793
A&N Islands,2020,12.58841010626004,22.535571551977917,21.3528300680275
A&N Islands,2021,10.60196216536543,17.71732109565323,16.89326862325835
A&N Islands,2022,10.810587541900768,19.926011293970586,18.69590663339773
AP & Telangana,1998,10.61920773383831,29.771291074277222,17.160325433118558
AP & Telangana,1999,12.072525901385507,25.231235096879136,19.170049070803245
AP & Telangana,2000,13.200911111335722,27.26342321597568,20.66311690411157
AP & Telangana,2001,16.136840337480255,33.78381732909823,23.61246080429146
AP & Telangana,2002,16.427793336547463,34.1991801652247,24.381210302426837
AP & Telangana,2003,15.89062715030536,32.813173690230364,24.082506398323694
AP & Telangana,2004,17.124438142561495,35.43718143623844,25.344431632841662
AP & Telangana,2005,20.974019037750633,34.90588002944689,27.854009914781834
AP & Telangana,2006,19.305649623655235,36.770930407077614,29.29499357651397
AP & Telangana,2007,18.516972472101937,34.965634356758976,29.52683588353429
AP & Telangana,2008,20.964971168707155,51.579343940707226,32.4664669052306
AP & Telangana,2009,22.98713459654981,42.80956014141485,33.0976557498684
AP & Telangana,2010,22.25311939523715,42.0095168228651,31.42814517760919
AP & Telangana,2011,24.657767712714755,41.340394459972266,33.102683186297334
AP & Telangana,2012,19.263785772438116,45.99363543116677,30.74023011957176
AP & Telangana,2013,19.78822688725273,45.01157903633301,31.352502058471707
AP & Telangana,2014,22.148775471598725,45.44486771363151,35.08956703058145
AP & Telangana,2015,20.6636468724028,41.98537553663382,31.751416132240497
AP & Telangana,2016,20.27448314528778,45.51240391404401,32.83725055033103
AP & Telangana,2017,24.13243553417265,49.58237838955539,37.17628469682393
AP & Telangana,2018,25.31296964867991,46.17845552345298,36.67369687109883
AP & Telangana,2019,20.888362463587377,47.02088597784317,34.966695893709606
AP & Telangana,2020,23.01278551535091,47.34399155087511,35.98876016597138
AP & Telangana,2021,23.498473344076473,49.88473491010612,35.1756789906274
AP & Telangana,2022,23.087640670270684,47.83040088594588,33.54689216328292
Arunachal Pradesh,1998,11.248996101388624,28.58668448615339,15.886038365569695
Arunachal Pradesh,1999,10.584761360095229,35.10026955965761,17.839648623627177
Arunachal Pradesh,2000,10.213216525747203,27.925826045131984,18.749160717547348
Arunachal Pradesh,2001,10.73961788559074,34.00027987189319,20.71640525500345
Arunachal Pradesh,2002,14.430672355243242,34.37768674449801,20.072422802418565
Arunachal Pradesh,2003,12.239303744798574,42.102592838461824,18.840247194855884
Arunachal Pradesh,2004,14.574106508474474,29.161323812706552,20.128179710891736
Arunachal Pradesh,2005,16.022268631540022,36.347707104739015,21.91038175271092
Arunachal Pradesh,2006,14.639714514234416,42.65441795969247,25.717501103700172
Arunachal Pradesh,2007,15.490850965949498,38.29974890555681,22.28700757951268
Arunachal Pradesh,2008,14.426141260977648,36.31673290103132,23.371878574640363
Arunachal Pradesh,2009,16.802096864554986,39.37812826143354,27.60753422227924
Arunachal Pradesh,2010,13.761644786628082,49.87416021552488,24.878645493952597
Arunachal Pradesh,2011,14.627346803781656,43.27952258004031,24.51327757907862
Arunachal Pradesh,2012,13.249178968555333,33.646734541655604,22.490586059805832
Arunachal Pradesh,2013,13.180518577153896,37.29077497904881,19.54415329411662
