pc11_state_id,pc11_district_id,pc11_subdistrict_id,state_name,district_name,subdistrict_name,subdistrict_population,avg_pm2.5_1998,avg_pm2.5_1999,avg_pm2.5_2000,avg_pm2.5_2001,avg_pm2.5_2002,avg_pm2.5_2003,avg_pm2.5_2004,avg_pm2.5_2005,avg_pm2.5_2006,avg_pm2.5_2007,avg_pm2.5_2008,avg_pm2.5_2009,avg_pm2.5_2010,avg_pm2.5_2011,avg_pm2.5_2012,avg_pm2.5_2013,avg_pm2.5_2014,avg_pm2.5_2015,avg_pm2.5_2016,avg_pm2.5_2017,avg_pm2.5_2018,avg_pm2.5_2019,avg_pm2.5_2020,avg_pm2.5_2021,avg_pm2.5_2022
24,468,00000,gujarat,kachchh,rann of kachchh,8724,38.759516098925715,43.777346387195344,46.13543852381933,61.831692392550075,57.756854124490054,53.737645740300145,67.43923443976138,61.01181872254041,49.65038674525998,39.708034222368525,52.89986181622294,46.55087968885847,45.47067779836333,59.77368572453974,61.01226883292009,58.318390772992615,62.49330455684446,54.912956999157515,62.93570727017389,52.89635796893657,70.1354357967777,60.17493183570002,67.21660829096736,52.89459292418252,63.310174602172324
24,468,03722,gujarat,kachchh,lakhpat,71667,34.689960213066854,30.823498746667884,37.11283594185121,46.814048822304656,46.86663362529641,42.23816184915849,56.343000062225244,45.46277853823849,42.391997750171086,33.62989576987507,44.98686838558671,38.19744022189197,39.184464375582024,45.030248980939554,56.8841559715084,43.900091170448746,49.82967141846994,44.85638068095399,38.159953535544645,45.27304948815385,56.66901404295441,50.71204677813528,57.1287628022446,46.27602170510297,47.24335571972834
24,468,03723,gujarat,kachchh,rapar,228364,35.85579646080676,40.56418941409184,43.45248349299507,60.657949868299426,62.75133453491894,48.794670397726726,65.62353595811825,58.690410639784474,49.078016671068276,38.16364251401591,52.171589584312756,43.77695241359842,43.46500561685824,55.20200322529505,61.46949211275229,56.640340645129605,58.27419397108041,53.626397044105524,60.251526351792855,45.394983829883564,75.04849938025365,58.37725771424421,64.87771634978992,48.91215835496254,59.51195380234086
24,468,03724,gujarat,kachchh,bhachau,264201,34.81279321320015,37.467439402370566,39.89099864998891,50.08820304727749,56.274949329593085,44.451390790821826,58.16238813565481,53.194617559312164,46.51812856685426,36.77877640655601,47.0954374363114,41.07549802709303,41.74830541783058,51.394533842783886,60.12703888322755,51.825004706039714,54.31680358839986,49.652142202361205,51.28056915444327,42.657530250437155,70.36358864519906,54.61271311146799,61.66905280842565,47.12791641488213,54.926597060458214
24,468,03725,gujarat,kachchh,anjar,235340,33.717373154969245,32.70880625819223,37.77194887241817,40.06533834678279,47.07920452819906,41.58588845192776,50.72879001444315,46.923481897404415,41.73655519996915,34.16204142887859,43.09153062091918,37.596470044479574,39.25886890370459,46.2373173147619,57.50136266174468,43.06652525184071,49.194040228913146,44.26064140951264,41.97762409632322,42.53689530566798,58.18013148299194,50.898952579651095,57.66080603692795,44.667168268467734,50.711141244127106
24,468,03726,gujarat,kachchh,bhuj,640639,32.081300682437735,31.95353424548264,38.85679545628843,44.53740377046405,48.460271613082476,43.93369892469769,52.41825584058792,47.84112511891454,43.34903055293917,32.660350511203255,45.47707641170371,38.09721502493278,39.355581890081204,45.348507294939814,57.21543656987898,44.40562971191769,49.60083815937416,45.09807377006263,41.591433328605795,42.72120845995918,60.97790096131729,44.83174017915651,55.37174773596859,42.28804017456262,47.770826906250356
24,468,03727,gujarat,kachchh,nakhatrana,213076,30.70909402463652,29.015519751745277,33.7871729668662,42.83388638728995,45.7832105861271,42.800714499675955,47.53558520570219,42.526283732777244,39.96385637251345,30.654506474570045,43.91333289832938,35.88862046415961,37.20529186281058,39.45289749491607,50.33049837446203,38.73562456057979,45.43428425798602,42.33093290114702,36.98472326988813,39.57566545744462,51.238268842930175,40.45382580652644,54.369738588922424,39.60854131620797,43.287544833851214
24,468,03728,gujarat,kachchh,abdasa,157103,30.249381542234396,24.036022334777908,28.45452688232238,36.69800301385043,38.13693025512553,36.720576514780795,42.53770685826934,37.096368718573295,35.393999203815504,29.787278247136616,39.60304130368288,32.29891221452334,35.775355343284254,34.97889728271727,42.80162947514402,37.05663636603579,38.10833875561243,38.21823378401802,32.165753038002734,34.05852219987461,44.17157791989202,39.244014138319685,48.448331888940196,38.96432696774873,39.68591533595065
24,468,03729,gujarat,kachchh,mandvi,244518,29.77561479170222,23.336603355130038,26.755583858992686,35.45553601935389,36.45638574482273,36.55306934187524,38.98565259367662,35.58153290185948,34.44929862429734,27.482785677385962,38.16013286192699,30.95138188336149,33.903385662454966,33.73783465563741,41.29677591557468,34.611177856483565,36.50868626373738,35.71797937140595,33.114707017400384,31.96271584943237,41.35558147449632,37.88236691238554,46.86249776065752,36.618913209320986,38.966903865598745
24,468,03730,gujarat,kachchh,mundra,113744,31.576160140147298,26.432663253716125,31.01223488956659,37.15853538389104,39.335511842475924,37.915756889707474,41.78271640598998,38.93418533907994,36.734938615468366,30.37578713337473,40.356214434862636,33.985206390518705,35.894260744677695,37.581124095743846,48.129612148545924,37.04488698099872,42.53615169998861,38.29670412239756,35.18067997337454,36.39519222684409,46.79509462451221,41.57524639567226,52.98628673120523,41.77395520581106,42.8051106480214
