unique_id,pollutant,iso,longitude,latitude,elevation,area,type,labeled_area,labeled_type
usa_-80.058492_26.593808,PM,usa,-80.058492,26.593808,9.0,urban,background,1.0,0.0
pak_73.11822_33.7235,PM,pak,73.11822,33.7235,,urban,background,0.0,0.0
mex_-115.47463888889_32.640027777778,PM,mex,-115.47463888889,32.640027777778,,urban,background,0.0,0.0
jpn_139.425555555556_35.7508333333333,PM,jpn,139.425555555556,35.7508333333333,3.0,urban,background,0.0,1.0
tha_100.535641_13.907861,PM,tha,100.535641,13.907861,,urban,background,0.0,0.0
gbr_-1.433611_53.23058299948547,PM,gbr,-1.433611,53.23058299948547,86.0,urban,background,1.0,1.0
mex_-99.117922222222_19.469708333333,PM,mex,-99.117922222222,19.469708333333,2228.0,urban,non-background,0.0,0.0
usa_-81.191_35.9138,PM,usa,-81.191,35.9138,365.0,urban,background,1.0,1.0
jpn_139.326666666667_35.7386111111111,PM,jpn,139.326666666667,35.7386111111111,23.0,urban,background,0.0,1.0
chn_120.773_37.809,PM,chn,120.773,37.809,,urban,background,0.0,0.0
usa_-94.070802_33.425758,PM,usa,-94.070802,33.425758,89.0,urban,background,1.0,0.0
chn_117.6336_24.4674,PM,chn,117.6336,24.4674,,urban,background,0.0,0.0
chn_113.3494_22.0569,PM,chn,113.3494,22.0569,,urban,background,0.0,0.0
bra_-38.45785_-12.898903,PM,bra,-38.45785,-12.898903,,urban,non-background,0.0,0.0
fra_-60.92741800000001_14.468868999999996,PM,fra,-60.92741800000001,14.468868999999996,46.0,urban,background,1.0,1.0
fra_9.446417000000002_42.697918,PM,fra,9.446417000000002,42.697918,60.0,urban,background,1.0,1.0
swe_13.00623_55.58474699949976,PM,swe,13.00623,55.58474699949976,11.0,urban,background,1.0,1.0
usa_-87.126108_37.771715,PM,usa,-87.126108,37.771715,122.0,urban,background,1.0,0.0
bel_4.288706017295205_50.85780610709414,PM,bel,4.288706017295205,50.85780610709414,66.0,urban,background,1.0,1.0
usa_-122.4031_40.6304,PM,usa,-122.4031,40.6304,236.0,urban,background,1.0,0.0
bel_3.3073857993357536_50.91722844143443,PM,bel,3.3073857993357536,50.91722844143443,44.0,rural,background,1.0,1.0
jpn_135.563611111111_34.4552777777778,PM,jpn,135.563611111111,34.4552777777778,5.0,urban,non-background,0.0,1.0
usa_-106.613815_35.19324,PM,usa,-106.613815,35.19324,1523.0,urban,background,1.0,0.0
aus_150.69013_-34.04168,PM,aus,150.69013,-34.04168,73.0,urban,non-background,0.0,0.0
kor_129.09266_35.22974870000001,PM,kor,129.09266,35.22974870000001,,urban,background,0.0,0.0
jpn_140.206388888889_35.7277777777778,PM,jpn,140.206388888889,35.7277777777778,5.0,urban,background,0.0,1.0
chn_104.563_28.793,PM,chn,104.563,28.793,,urban,background,0.0,0.0
jpn_136.830277777778_35.2847222222222,PM,jpn,136.830277777778,35.2847222222222,3.0,urban,non-background,0.0,1.0
ita_10.401667000000002_43.738889,PM,ita,10.401667000000002,43.738889,5.0,urban,background,1.0,1.0
kor_126.785915_36.79049800000001,PM,kor,126.785915,36.79049800000001,,urban,background,0.0,0.0
pol_20.454653_52.28585799948069,PM,pol,20.454653,52.28585799948069,72.0,rural,background,1.0,1.0
isr_34.841_32.06999,PM,isr,34.841,32.06999,,urban,background,0.0,0.0
mex_-99.094722222222_19.482777777778,PM,mex,-99.094722222222,19.482777777778,2227.0,urban,background,0.0,0.0
fra_4.796111_45.936275,PM,fra,4.796111,45.936275,179.0,urban,background,1.0,1.0
chn_120.157_30.2897,PM,chn,120.157,30.2897,,urban,background,0.0,0.0
ita_12.048889_44.219167,PM,ita,12.048889,44.219167,29.0,urban,background,1.0,1.0
ita_8.6232_44.9203,PM,ita,8.6232,44.9203,91.0,urban,background,1.0,1.0
chn_120.598_30.0911,PM,chn,120.598,30.0911,,urban,background,0.0,0.0
fra_2.343889_49.100277,PM,fra,2.343889,49.100277,140.0,rural,background,1.0,1.0
chn_113.0828_22.5947,PM,chn,113.0828,22.5947,,urban,non-background,0.0,0.0
chn_113.3769_22.5211,PM,chn,113.3769,22.5211,,urban,background,0.0,0.0
tur_36.15912_36.20836299948776,PM,tur,36.15912,36.20836299948776,102.0,urban,background,1.0,1.0
fra_55.62793_-21.29433000000001,PM,fra,55.62793,-21.29433000000001,1141.0,rural,background,1.0,1.0
usa_-71.217639_44.308132,PM,usa,-71.217639,44.308132,449.0,rural,background,1.0,1.0
bra_-43.71365_-22.7386,PM,bra,-43.71365,-22.7386,,urban,background,0.0,0.0
ecu_-78.49953_-0.11072,PM,ecu,-78.49953,-0.11072,,urban,background,0.0,0.0
fra_55.58262_-21.20481500000001,PM,fra,55.58262,-21.20481500000001,1601.0,rural,background,1.0,1.0
chn_118.1953_28.4401,PM,chn,118.1953,28.4401,,urban,background,0.0,0.0
jpn_139.260833333333_36.0608333333333,PM,jpn,139.260833333333,36.0608333333333,3.29,urban,background,0.0,1.0
usa_-112.104872_33.417822,PM,usa,-112.104872,33.417822,0.0,urban,background,1.0,0.0
kor_126.92018600000002_37.13235600000001,PM,kor,126.92018600000002,37.13235600000001,,urban,background,0.0,0.0
kor_127.25235_38.123833,PM,kor,127.25235,38.123833,,urban,background,0.0,0.0
fra_4.950573_47.13723,PM,fra,4.950573,47.13723,244.0,urban,non-background,1.0,1.0
kor_126.301512_36.746709,PM,kor,126.301512,36.746709,,urban,background,0.0,0.0
bra_-47.842999_-15.58948,PM,bra,-47.842999,-15.58948,,rural,background,0.0,0.0
ind_77.482_28.47272,PM,ind,77.482,28.47272,,urban,background,0.0,0.0
nzl_176.91912704_-39.54588935,PM,nzl,176.91912704,-39.54588935,,urban,non-background,0.0,1.0
usa_-122.026154_37.936013,PM,usa,-122.026154,37.936013,26.0,urban,background,1.0,0.0
usa_-82.456229_42.953336,PM,usa,-82.456229,42.953336,186.0,urban,background,1.0,0.0
kor_126.756434_37.723148,PM,kor,126.756434,37.723148,,urban,background,0.0,0.0
bra_-45.191876979_-22.818944618,PM,bra,-45.191876979,-22.818944618,,urban,non-background,0.0,0.0
